"GEOID","MAMMOUSE_CrudePrev","MAMMOUSE_Crude95CI"
"06085512025","77.6","(71.4, 83.0)"
"06085512026","79.9","(74.1, 84.9)"
"06085512027","79.9","(74.0, 85.0)"
"06085512029","79.7","(73.8, 84.8)"
"06085512030","81.1","(75.3, 86.0)"
"06085512031","81.0","(75.3, 85.8)"
"06085512032","79.3","(73.3, 84.5)"
"06085512034","79.9","(74.1, 85.0)"
"06085512035","79.3","(73.3, 84.5)"
"06085512036","79.4","(73.5, 84.6)"
"06085512037","78.2","(72.1, 83.6)"
"06085512038","72.1","(65.0, 78.7)"
"06085512039","76.1","(69.5, 81.9)"
"06085512042","78.0","(71.7, 83.4)"
"06085512043","67.6","(59.7, 74.7)"
"06085512045","78.9","(73.0, 84.1)"
"06085512047","76.7","(70.2, 82.2)"
"06085512052","78.5","(72.3, 83.8)"
"06085512053","76.9","(70.5, 82.5)"
"06085512054","79.9","(74.0, 85.0)"
"06085512055","76.1","(69.7, 82.0)"
"06085512056","75.5","(68.7, 81.3)"
"06085512057","75.8","(69.2, 81.4)"
"06085512058","77.7","(71.4, 83.3)"
"06085512059","80.8","(75.1, 85.6)"
"06085512100","73.1","(66.0, 79.3)"
"06085512200","80.0","(74.2, 85.0)"
"06085512305","78.8","(72.7, 84.0)"
"06085512307","79.1","(73.0, 84.3)"
"06085512308","79.8","(74.1, 84.9)"
"06085512309","80.3","(74.5, 85.2)"
"06085512310","78.3","(72.2, 83.8)"
"06085512311","78.9","(72.9, 84.0)"
"06085512312","78.4","(72.3, 83.9)"
"06085512313","78.6","(72.6, 83.9)"
"06085512314","77.6","(71.3, 83.1)"
"06085512401","76.4","(69.9, 82.0)"
"06085512402","77.5","(71.3, 83.1)"
"06085512505","75.9","(69.3, 81.7)"
"06085512509","79.4","(73.5, 84.6)"
"06085512510","77.2","(71.0, 82.8)"
"06085512511","78.1","(71.9, 83.4)"
"06085512512","75.0","(68.4, 81.0)"
"06085512513","80.3","(74.5, 85.4)"
"06085512514","77.1","(70.6, 82.7)"
"06085512515","76.5","(69.9, 82.2)"
"06085512516","77.9","(71.6, 83.5)"
"06085512602","75.0","(68.4, 80.9)"
"06085512603","69.4","(61.6, 76.3)"
"06085512604","75.4","(68.8, 81.4)"
"06085513000","75.1","(68.4, 80.9)"
"06085513500","76.5","(70.0, 82.2)"
